Company Name,Founding Date,Founder name,Location,Industry/Sector,Stage,Brief Description,Team Members,Business Model,Loyal Customer,Market Size (Rp),Market Target,Amount seeking (Rp),Funding Raised (Rp),Revenue (Rp),Profiitability (%),Growth rate (%),Preferred investment type,Intended use of funds
RongsCycle,2022-01-15,Andrea Hartono,"Jakarta, DKI Jakarta",Renewable Energy,Series C,"""RongsCycle is a waste management startup that converts food waste into biogas and organic fertilizer, providing a sustainable solution for Indonesia's waste management issues. Our innovative technology reduces greenhouse gas emissions and supports a circular economy. We aim to become a leading player in Indonesia's waste management sector, contributing to a cleaner and healthier environment.""",119,Ad-based,12750,19000000000,Global,50000000000,14000000,16000000.0,0.01,19.0,Equity,"""Scaling up production capacity and expanding our distribution network to reach more customers, while also investing in research and development to improve our technology and reduce costs."""
ShawnTech Indonesia,2022-01-15,Arya Satria,"Jakarta, DKI Jakarta",Renewable Energy,Pre-seed,"""ShawnTech Indonesia is a sustainable energy solutions provider specializing in solar panel installation and energy efficiency consulting for residential and commercial clients. Our mission is to empower individuals and businesses to reduce their carbon footprint and contribute to a cleaner environment. With a strong team of experts and a proven track record of success, we are poised to become a leading player in the Indonesian renewable energy market.""",126,Freemium,180,30000000000,Enterprises,52000000000,19000000,117000000.0,0.42,35.0,Equity,"""We plan to use the funds to scale up our operations, expand our team, and develop new products and services to meet the growing demand for sustainable energy solutions in Ind."""
GreenCycle,2020-03-12,Rahmi Andriani,"Jakarta, DKI Jakarta",Sustainable Energy,Series A,"""GreenCycle is an innovative startup that focuses on developing and deploying AI-powered waste management solutions. Our technology enables real-time monitoring and optimization of waste collection routes, reducing costs and increasing efficiency for municipalities and waste management companies. With our solution, we aim to contribute to a cleaner and healthier environment for future generations. We are looking for an investment of IDR 500000000 to scale up our operations and expand our reach to more cities across Indonesia.""",30,Marketplace,272,49000000000,Specific Industries,51000000000,31000000,183000000.0,0.18,28.0,Equity,"""Scaling up operations, expanding reach to more cities, hiring more staff, and developing new features."""
EcoCycle Indonesia,2018-06-15,Astri Wulan,"Jakarta, DKI Jakarta",Sustainable Energy,Growth,"""EcoCycle Indonesia aims to provide a comprehensive waste management solution for businesses and households in Indonesia. Our innovative technology converts non-recyclable waste into clean energy, reducing landfill waste and promoting a sustainable future.""",143,Subscription,3521,22000000000,Enterprises,36000000000,1000000,153000000.0,0.51,119.0,Equity,"""Scaling production capacity and expanding our customer base to reach 10000 businesses within the next 2 years."""
Kinetik Labs,2019-09-22,Aulia Irawan,"Jakarta, DKI Jakarta",Artificial Intelligence,Series C,"""Kinetik Labs develops AI-powered chatbots for Indonesian small businesses, enhancing customer engagement and operational efficiency. Our platform utilizes machine learning algorithms to personalize interactions and provide actionable insights. With Kinetik Labs, entrepreneurs can focus on growth while we handle customer relationships.""",83,Ad-based,1116,28000000000,Enterprises,5000000000,14000000,97000000.0,0.06,105.0,Equity,"""Expand our sales and marketing team to reach 500 customers within the next 6 months, and enhance our AI engine to improve customer engagement by 30%."""
KiyalaneCycle,2017-01-10,Reza Fadhilah,"Bandung, West Java",Sustainable Energy,Seed,"""KiyalaneCycle is a social enterprise that converts plastic waste into clean energy and biodegradable products. Our patented technology reduces plastic waste in oceans and landfills, while providing a sustainable alternative to fossil fuels. With KiyalaneCycle, communities can thrive without harming the environment.""",53,Marketplace,17590,28000000000,Enterprises,16000000000,43000000,42000000.0,0.16,95.0,Debt,"""Scale up our manufacturing capacity to produce 10000 tons of biodegradable products annually, and establish partnerships with 5 major Indonesian companies to integrate our technology into their operations."""
FitForAll,2016-04-25,Nurul Fitri,"Yogyakarta, Special Region of Yogyakarta",Health and Wellness,Series B,"""FitForAll is a mobile fitness platform that offers personalized workouts and nutrition plans for Indonesian individuals with disabilities. Our AI-driven system provides adaptive exercises and meal suggestions tailored to users' needs, promoting inclusivity and accessibility in the fitness industry. With FitForAll, people of all abilities can achieve their health goals.""",86,Marketplace,3163,35000000000,Individuals,7000000000,29000000,76000000.0,0.55,74.0,Convertible Note,"""Develop a minimum viable product (MVP) with 10000 users within the next 9 months, and establish partnerships with 3 major Indonesian health insurance providers to offer our services to their clients."""
EduNova,2015-10-18,Rahmad Effendi,"Surabaya, East Java",Education Technology,Series C,"""EduNova is an online learning platform that provides high-quality educational content and interactive tools for Indonesian students. Our platform offers adaptive learning pathways, real-time feedback, and gamification elements to enhance student engagement and academic performance. With EduNova, students can achieve their full potential and succeed in an increasingly competitive world.""",74,E-commerce,19039,22000000000,Enterprises,3000000000,19000000,117000000.0,0.08,42.0,Equity,"""Expand our content library to cover 50% of Indonesian curriculum, and establish partnerships with 10 major Indonesian schools to integrate our platform into their classrooms."""
AgroSphere,2014-07-15,Dewi Ratnasari,"Medan, North Sumatra",Agricultural Technology,Series A,"""AgroSphere is a precision agriculture company that provides IoT-based solutions for Indonesian farmers. Our platform offers real-time monitoring of crop health, soil conditions, and weather forecasts to optimize yields and reduce waste. With AgroSphere, farmers can increase their productivity and profitability while protecting the environment.""",15,Freemium,11649,44000000000,Specific Industries,32000000000,40000000,200000000.0,-0.11,114.0,Debt,"""Scale up our production capacity to supply 50000 farmers with our IoT devices within the next 12 months, and establish partnerships with 5 major Indonesian agricultural companies to integrate our technology into their operations."""
CareConnect,2012-09-05,Aditya Rizky,"Bogor, West Java",Healthcare,Series A,"""CareConnect is a telemedicine platform that connects Indonesian patients with licensed doctors and healthcare professionals. Our platform offers virtual consultations, remote monitoring, and personalized care plans to improve patient outcomes and reduce healthcare costs. With CareConnect, people can access quality healthcare services from anywhere, anytime.""",51,SaaS,16538,10000000000,Specific Industries,33000000000,14000000,158000000.0,0.45,117.0,Equity,"""Develop a minimum viable product (MVP) with 5000 users within the next 12 months, and establish partnerships with 3 major Indonesian health insurance providers to offer our services to their clients."""
Sustaina,2017-11-25,Ismail Yusuf,"Pontianak, West Kalimantan",Sustainable Products,Pre-seed,"""Sustaina is a social enterprise that develops eco-friendly products from recycled materials. Our products include reusable bags, stainless steel water bottles, and bamboo toothbrushes. With Sustaina, consumers can reduce their environmental footprint and promote sustainable living.""",89,Subscription,13994,29000000000,Individuals,94000000000,47000000,114000000.0,0.44,103.0,Convertible Note,"""Scale up our manufacturing capacity to produce 1 million units of our products annually, and establish partnerships with 5 major Indonesian retailers to integrate our products into their stores."""
FoodForThought,2015-04-15,Andi Kristianto,"Malang, East Java",Food Technology,Series C,"""FoodForThought is a food processing company that develops healthy and sustainable food products for Indonesian consumers. Our products include organic snacks, functional beverages, and plant-based meat alternatives. With FoodForThought, consumers can enjoy healthy and delicious food options while promoting sustainable agriculture.""",76,Ad-based,4515,37000000000,SMBs,6000000000,10000000,90000000.0,-0.17,66.0,Debt,"""Expand our product portfolio to cover 50% of Indonesian market demand, and establish partnerships with 10 major Indonesian food retailers to integrate our products into their stores."""
SustainaPower,2023-02-01,Rifki Nugraha,"Semarang, Central Java",Waste Management,Series A,"""SustainaPower is a waste management company that provides sustainable solutions for Indonesian cities. Our services include waste collection, recycling, and composting to reduce waste in landfills and oceans. With SustainaPower, cities can achieve zero waste and promote a clean environment.""",59,Ad-based,15807,45000000000,Enterprises,76000000000,41000000,127000000.0,-0.13,38.0,Equity,"""Scale up our operations to serve 20 major Indonesian cities within the next 24 months, and establish partnerships with 5 major Indonesian government agencies to integrate our services into their waste management programs."""
Greenify,2022-01-15,Teguh Wibowo,"Surakarta, Central Java",Sustainable Energy,Series A,"""Greenify is a renewable energy company that develops solar and wind power solutions for Indonesian households and businesses. Our systems offer clean energy, reduce carbon emissions, and promote energy independence. With Greenify, consumers can power their homes and businesses with sustainable energy.""",22,SaaS,12598,19000000000,Specific Industries,38000000000,2000000,30000000.0,0.54,88.0,Debt,"""Expand our sales and marketing efforts to reach 50000 customers within the next 18 months, and establish partnerships with 5 major Indonesian energy companies to integrate our systems into their networks."""
EcoSpark,2013-05-10,Luna Putri,"Jakarta, DKI Jakarta",Environmental Technology,Series A,"""EcoSpark is an innovative startup that provides a smart waste management system using AI-powered sensors and IoT technology. Our goal is to reduce waste disposal costs and increase recycling rates in Indonesia. With our cutting-edge solution, we aim to create a cleaner and more sustainable environment for future generations.""",64,SaaS,5813,21000000000,Individuals,25000000000,14000000,12000000.0,0.1,119.0,Equity,"""Scaling up production and expanding our sales team to reach more customers across Indonesia."""
PowerCycle,2023-10-15,Andi Rachmawati,"Jakarta, DKI Jakarta",Environmental Technology,Series B,"""PowerCycle is an innovative startup that aims to reduce plastic waste in Indonesia by developing a smart recycling system. Our AI-powered platform helps consumers identify and recycle plastic waste, while also providing a marketplace for recycled materials. With a strong focus on sustainability and community engagement, PowerCycle is poised to revolutionize the way we think about waste management in Indonesia.""",115,Freemium,7194,14000000000,Global,73000000000,7000000,53000000.0,0.26,92.0,Equity,"""To scale up our production capacity, enhance our marketing efforts, and expand our reach to more Indonesian cities."""
GrowTech Indonesia,2019-07-05,Astri Wahyu,"Jakarta, DKI Jakarta",Renewable Energy,Growth,"""GrowTech Indonesia aims to revolutionize the energy sector in Indonesia by developing innovative, sustainable, and affordable solutions for renewable energy. Our team has created a cutting-edge solar panel system that can be easily integrated into existing infrastructure, reducing carbon emissions and increasing energy efficiency. We plan to use this technology to power homes, businesses, and communities across the country, promoting a cleaner and healthier environment for future generations. Our vision is to become a leading provider of renewable energy solutions in Indonesia, creating a positive impact on the environment and the economy.""",23,Subscription,8387,27000000000,Individuals,60000000000,15000000,129000000.0,-0.19,100.0,Debt,"""Develop and scale production of solar panel systems, enhance R&D for more efficient energy solutions, and expand marketing efforts to increase adoption of renewable energy in homes, businesses, and communities across Indonesia."""
EcoPulse,2010-02-20,Rina Wahyuni,"Bandung, West Java",Sustainable Energy,Growth,"""EcoPulse aims to reduce carbon footprint by developing and deploying AI-powered smart energy grids. Our innovative solution optimizes energy distribution, reducing waste and emissions. By partnering with local governments and businesses, we aim to create a cleaner, more sustainable future for Indonesia.""",34,Ad-based,969,38000000000,Individuals,60000000000,41000000,68000000.0,0.17,34.0,Equity,"""Scaling up our AI-powered energy grid infrastructure to cover 10 major cities in Indonesia, creating jobs and stimulating local economies."""
YayaTech Indonesia,2022-04-12,Ayu Wulandari,"Jakarta, DKI Jakarta",Renewable Energy,Seed,"""YayaTech Indonesia is a startup that aims to provide affordable and sustainable solar panels to households in Indonesia. Our innovative technology uses AI to optimize energy production and reduce waste. We are seeking funding to scale our production and expand our customer base.""",115,Freemium,9273,47000000000,Enterprises,83000000000,39000000,92000000.0,-0.03,47.0,equity,"""Scaling production, hiring more staff, and marketing efforts to reach a wider audience. We plan to use 60% of the funds for production, 20% for hiring, and 20% for marketing."""
Lumina Tech,2016-08-25,Astrid Wulandari,"Jakarta, DKI Jakarta",Artificial Intelligence,Growth,"""Lumina Tech is a Jakarta-based AI startup that uses machine learning to provide personalized customer service. Our AI-powered chatbots help businesses automate their customer support and improve customer satisfaction. We are seeking investment to expand our product offerings and enter new markets.""",27,Freemium,14699,27000000000,Specific Industries,54000000000,27000000,161000000.0,0.08,36.0,Equity,"""To expand our product offerings and enter new markets, we plan to use the funds to hire additional developers and marketers, and to invest in research and development to improve our AI algorithms."""
Greenify Indonesia,2021-12-01,Rizky Adit,"Jakarta, DKI Jakarta",Environmental Technology,Seed,"""Greenify Indonesia is a startup that develops innovative waste management solutions using AI and IoT technology. Our mission is to reduce waste sent to landfills and promote a circular economy in Indonesia. We are currently in the process of developing a mobile app that connects consumers with local waste collectors, making it easier for people to recycle and dispose of waste properly.""",149,Marketplace,7157,41000000000,Global,94000000000,43000000,70000000.0,0.09,73.0,Equity,"""The funds will be used to develop the mobile app, expand our team, and establish partnerships with local waste collectors and recycling facilities."""
BioMedika,2014-06-18,Dr. Liana Kusuma,"Bandung, West Java",Healthcare,Series C,"""BioMedika is a startup that develops affordable and accessible medical devices for rural communities in Indonesia. Our flagship product is a portable and easy-to-use ultrasound device that can be used for basic medical examinations. We aim to make healthcare more accessible and equitable for all Indonesians.""",11,Freemium,1673,17000000000,Individuals,94000000000,40000000,52000000.0,-0.06,65.0,Convertible Note,"""The funds will be used to scale up production, expand our distribution network, and develop new products that cater to the needs of rural communities."""
BrightMind,2007-03-15,Budi Santoso,"Yogyakarta, Special Region of Yogyakarta",Education Technology,Series B,"""BrightMind is a startup that provides online education platforms and resources for students in Indonesia. Our platform offers a range of courses, from language and literacy to STEM and vocational skills. We aim to bridge the education gap and provide equal access to quality education for all Indonesians.""",38,SaaS,313,9000000000,Individuals,34000000000,32000000,57000000.0,0.08,106.0,Debt,"""The funds will be used to develop new courses and content, expand our marketing and outreach efforts, and establish partnerships with schools and educational institutions."""
Agricorp,2011-09-20,Rudi Hartono,"Surabaya, East Java",Agricultural Technology,Pre-seed,"""Agricorp is a startup that develops precision agriculture solutions using satellite imaging and AI technology. Our mission is to increase crop yields, reduce waste, and promote sustainable agriculture practices in Indonesia. We are currently in the process of developing a mobile app that provides farmers with real-time data and insights on soil health, crop growth, and weather conditions.""",102,SaaS,9376,41000000000,Global,75000000000,47000000,69000000.0,0.21,55.0,Equity,"""The funds will be used to develop the mobile app, establish partnerships with farmers and agricultural cooperatives, and expand our team of experts in precision agriculture."""
Wellnessphere,2023-01-05,Putri Ardiyanti,"Bali, Bali",Wellness and Fitness,Pre-seed,"""Wellnessphere is a startup that develops wellness and fitness programs for urban dwellers in Indonesia. Our flagship program is a mobile app that offers meditation, yoga, and other mindfulness exercises. We aim to promote mental and physical well-being among urban populations and reduce the risk of chronic diseases.""",87,Ad-based,615,22000000000,Global,73000000000,9000000,88000000.0,0.05,69.0,Convertible Note,"""The funds will be used to expand our team of trainers and coaches, develop new content and programs, and establish partnerships with healthcare providers and wellness centers."""
FinSpark,2005-07-01,Dedi Hartono,"Medan, North Sumatra",Financial Technology,Series A,"""FinSpark is a startup that develops mobile payment solutions for micro-entrepreneurs in Indonesia. Our flagship product is a mobile wallet that allows users to send and receive money, pay bills, and make purchases online. We aim to increase financial inclusion and access to digital payments for underserved populations.""",32,Marketplace,6625,19000000000,Enterprises,62000000000,28000000,99000000.0,-0.2,138.0,Debt,"""The funds will be used to expand our distribution network, develop new products and services, and establish partnerships with financial institutions and regulators."""
EcoDynamiq,2020-11-10,Rizky Prasetyo,"Pontianak, West Kalimantan",Environmental Technology,Series B,"""EcoDynamiq is a startup that develops sustainable waste management solutions for communities in Indonesia. Our flagship product is a waste sorting and recycling facility that uses AI and IoT technology to optimize waste processing and minimize waste sent to landfills. We aim to promote a circular economy and reduce waste pollution in Indonesia.""",40,Subscription,13981,17000000000,Individuals,98000000000,13000000,178000000.0,0.08,64.0,Equity,"""The funds will be used to develop the waste sorting and recycling facility, expand our team of experts in waste management, and establish partnerships with local governments and waste collectors."""
BioCraft,2019-02-12,Dr. Sugeng Hartono,"Malang, East Java",Biotechnology,Series A,"""BioCraft is a startup that develops bioproducts and biomaterials from renewable biomass sources. Our flagship product is a biodegradable packaging material made from plant-based materials. We aim to reduce plastic waste and promote sustainable packaging solutions in Indonesia.""",37,Subscription,12760,17000000000,Global,94000000000,38000000,157000000.0,0.09,71.0,Convertible Note,"""The funds will be used to scale up production, expand our distribution network, and develop new bioproducts and biomaterials that cater to the needs of industries and consumers."""
Sportify,2022-03-25,Santoso Budi,"Semarang, Central Java",Sports Technology,Seed,"""Sportify is a startup that develops mobile apps and platforms for sports and fitness enthusiasts in Indonesia. Our flagship app is a running and cycling tracking app that provides real-time data and insights on performance and progress. We aim to promote a culture of sports and fitness among urban populations and reduce the risk of chronic diseases.""",87,Subscription,12619,15000000000,Specific Industries,84000000000,40000000,45000000.0,0.25,33.0,Debt,"""The funds will be used to expand our team of developers and designers, develop new features and content, and establish partnerships with sports equipment manufacturers and event organizers."""
GreenHouse,2009-12-20,Aditya Jaya,"Bandung, West Java",Environmental Technology,Seed,"""GreenHouse is a startup that develops green building materials and solutions for the construction industry in Indonesia. Our flagship product is a sustainable insulation material made from recycled materials. We aim to promote energy efficiency and reduce carbon emissions in the built environment.""",52,SaaS,2732,32000000000,Specific Industries,80000000000,3000000,55000000.0,-0.04,99.0,Equity,"""The funds will be used to develop the sustainable insulation material, expand our team of experts in green building, and establish partnerships with architects, engineers, and construction companies."""
OneCycle,2016-08-18,Rahmat Wijaya,"Jakarta, DKI Jakarta",Sustainable Energy,Series B,"""OneCycle aims to revolutionize waste management in Indonesia by developing a closed-loop system that converts organic waste into biofuels and fertilizers. Our patented technology enables efficient and cost-effective waste processing, reducing greenhouse gas emissions and promoting a cleaner environment. With a strong focus on community engagement, we strive to create a sustainable waste management ecosystem that benefits both people and the planet.""",68,Ad-based,953,20000000000,Enterprises,28000000000,43000000,156000000.0,-0.16,100.0,Equity,"""We plan to utilize the funds to scale up our operations, expand our team, and develop strategic partnerships with local government agencies and private sector companies. By doing so,"""
TokoTani,2023-06-15,Rahman Effendi,"Jakarta, DKI Jakarta",E-commerce,Series C,"""TokoTani is an e-commerce platform that connects small businesses in Indonesia to a wider customer base. Our platform provides a seamless shopping experience, ensuring timely and secure deliveries. With a focus on sustainability, we aim to reduce packaging waste and promote eco-friendly practices.""",100,Freemium,15009,34000000000,Individuals,56000000000,40000000,131000000.0,-0.02,33.0,Equity,"""Expansion into new markets and development of our logistics infrastructure to ensure timely and secure deliveries."""
SyanaCycle,2018-10-10,Luh Putu Sri Yuniati,"Bali, Bali",Renewable Energy,Series A,"""SyanaCycle is a renewable energy company that specializes in waste-to-energy solutions. Our innovative technology converts waste into clean energy, reducing greenhouse gas emissions and promoting a sustainable future. With a focus on community development, we aim to empower local communities through education and job creation.""",100,Subscription,8867,29000000000,Specific Industries,73000000000,47000000,139000000.0,0.23,16.0,Debt,"""Scaling up our operations to meet increasing demand and investing in research and development to improve our technology and reduce costs."""
MediConnect,2017-03-12,Dr. Muhammad Fachrul,"Bandung, West Java",Healthcare,Pre-seed,"""MediConnect is a telemedicine platform that connects patients with healthcare professionals in Indonesia. Our platform provides accessible and affordable healthcare services, ensuring timely diagnosis and treatment. With a focus on patient-centered care, we aim to improve health outcomes and promote healthy lifestyles.""",42,SaaS,15004,1000000000,SMBs,93000000000,36000000,120000000.0,0.45,62.0,Convertible Note,"""Development of our platform and hiring of additional healthcare professionals to meet growing demand."""
FoodFusion,2015-05-05,Budiyanto Santoso,"Yogyakarta, Special Region of Yogyakarta",Food Technology,Seed,"""FoodFusion is a food technology company that specializes in plant-based protein alternatives. Our innovative products are made from sustainable sources, reducing greenhouse gas emissions and promoting a healthier diet. With a focus on scalability, we aim to meet growing demand for plant-based products and reduce our carbon footprint.""",91,E-commerce,17490,4000000000,Individuals,41000000000,38000000,43000000.0,0.45,66.0,Equity,"""Scaling up our production capacity to meet increasing demand and investing in research and development to improve our products and reduce costs."""
NextAcademy,2010-07-15,Dr. Nurhayati Siti,"Surabaya, East Java",Education Technology,Seed,"""NextAcademy is an education technology company that specializes in online learning platforms. Our platform provides accessible and affordable education services, ensuring timely and effective learning outcomes. With a focus on student-centered learning, we aim to improve academic performance and promote a love of learning.""",75,Marketplace,16874,3000000000,Individuals,64000000000,12000000,81000000.0,-0.03,53.0,Debt,"""Development of our platform and hiring of additional educators to meet growing demand."""
CivicHub,2024-01-01,Ridwan Kamil,"Pontianak, West Kalimantan",Social Impact,Series B,"""CivicHub is a social impact organization that specializes in community development. Our programs promote civic engagement, education, and economic empowerment, ensuring a more equitable society. With a focus on community-driven solutions, we aim to improve health outcomes, reduce poverty, and promote social justice.""",62,E-commerce,15562,5000000000,SMBs,94000000000,21000000,164000000.0,0.04,46.0,Convertible Note,"""Development of our programs and hiring of additional staff to meet growing demand."""
RegenVolt,2013-08-20,Dr. Ir. H. Nurcahyo,"Bandar Lampung, Lampung",Environmental Sustainability,Seed,"""RegenVolt is an environmental sustainability company that specializes in waste management solutions. Our innovative technology reduces greenhouse gas emissions and promotes a circular economy. With a focus on community engagement, we aim to educate and empower local communities to adopt sustainable practices.""",68,E-commerce,3740,9000000000,Enterprises,51000000000,35000000,79000000.0,0.57,88.0,Equity,"""Expand operations to meet growing demand and invest in R&D to enhance technology and lower costs."""
Agrify,2016-04-10,Ir. H. Budi Santoso Arya,"Malang, East Java",Agricultural Technology,Growth,"""Agrify is an agricultural technology company that specializes in precision farming solutions. Our innovative products and services promote efficient and sustainable agriculture practices, reducing greenhouse gas emissions and promoting food security. With a focus on farmer-centric solutions, we aim to improve crop yields, reduce waste, and increase farmer incomes.""",113,Freemium,19376,25000000000,Enterprises,70000000000,7000000,83000000.0,0.54,86.0,Debt,"""Scaling up our operations to meet increasing demand and investing in research and development to improve our products and reduce costs."""
FitHub,2011-06-12,Dr. Ir. H. Muhammad Fachrul,"Jayapura, Papua",Health and Wellness,Series C,"""FitHub is a health and wellness company that specializes in fitness and nutrition services. Our platform provides accessible and affordable health and wellness solutions, ensuring timely and effective fitness outcomes. With a focus on community-driven initiatives, we aim to promote healthy lifestyles and reduce the risk of chronic diseases.""",27,Ad-based,9325,11000000000,Enterprises,43000000000,35000000,111000000.0,0.47,108.0,Convertible Note,"""Development of our platform and hiring of additional fitness professionals to meet growing demand."""
